token,rating,date,version,used_count,master_word,token_category
this,4,2020-11-12,9.2,5,,
this,4,2020-10-20,9.2,1,,
this,4,2020-11-06,9.2,1,,
this,4,2020-11-05,9.2,4,,
this,4,2020-10-08,9.0,1,,
this,4,2020-10-23,9.2,2,,
this,4,2020-11-10,9.2,1,,
this,4,2020-10-21,,3,,
this,4,2020-09-19,9.0,6,,
this,4,2020-07-13,,4,,
this,4,2020-06-11,,1,,
this,4,2020-09-23,9.0,1,,
this,4,2020-10-04,9.0,1,,
this,4,2020-09-24,9.0,1,,
this,4,2020-08-01,,2,,
this,4,2020-08-01,8.8,1,,
this,4,2020-05-28,8.8,2,,
this,4,2020-05-28,,1,,
this,4,2020-08-28,,1,,
this,4,2020-09-02,9.0,1,,
this,4,2020-06-04,,1,,
this,4,2020-05-14,8.8,2,,
this,4,2020-02-06,8.2,1,,
this,4,2020-07-03,,1,,
this,4,2020-07-03,8.8,1,,
this,4,2020-03-29,8.7,1,,
this,4,2020-03-29,,1,,
this,4,2020-04-04,,3,,
this,4,2020-04-25,,1,,
this,4,2020-04-11,8.7,2,,
this,4,2020-05-31,8.8,2,,
this,4,2020-06-03,,2,,
this,4,2020-07-29,8.8,3,,
this,4,2019-12-09,8.2,2,,
this,4,2019-09-12,,2,,
this,4,2019-09-12,7.91,2,,
this,4,2020-06-30,8.8,1,,
this,4,2020-03-15,8.2,1,,
this,4,2019-09-01,7.7,1,,
this,4,2020-05-17,8.8,1,,
this,4,2019-06-12,7.6,1,,
this,4,2019-12-03,8.2,2,,
this,4,2020-09-27,,1,,
this,4,2019-11-19,8.0,1,,
this,4,2020-04-19,,1,,
this,4,2020-04-30,8.8,3,,
this,4,2019-11-23,8.0,1,,
this,4,2019-09-11,7.91,1,,
this,4,2020-06-08,8.8,2,,
this,4,2020-05-13,8.8,3,,
this,4,2020-08-19,8.8,1,,
this,4,2020-03-27,8.7,2,,
this,4,2020-09-03,9.0,2,,
this,4,2020-01-16,8.2,1,,
this,4,2020-03-25,8.7,3,,
this,4,2020-03-25,,1,,
this,4,2020-03-25,,1,,
this,4,2020-08-30,9.0,2,,
this,4,2020-08-08,8.8,1,,
this,4,2020-03-18,8.2,1,,
this,4,2020-11-02,9.2,1,,
this,4,2020-11-09,,1,,
this,4,2019-05-27,7.5,2,,
this,4,2019-10-09,,1,,
this,4,2019-10-09,,1,,
this,4,2019-10-09,,1,,
this,4,2019-06-27,7.7,1,,
this,4,2020-04-09,8.7,1,,
this,4,2019-12-01,8.2,1,,
this,4,2020-05-02,8.8,1,,
this,4,2020-07-18,,1,,
this,4,2020-03-10,8.2,1,,
this,4,2020-01-11,8.2,1,,
this,4,2019-12-22,8.2,1,,
this,4,2019-01-29,6.7,1,,
this,4,2019-07-31,,2,,
this,4,2019-07-31,7.7,1,,
this,4,2020-07-08,,1,,
this,4,2019-09-16,7.91,1,,
this,4,2020-08-26,,1,,
this,4,2020-03-11,8.2,1,,
this,4,2020-08-10,8.8,1,,
this,4,2020-08-16,8.8,3,,
this,4,2020-01-09,8.2,1,,
this,4,2020-04-07,8.7,1,,
this,4,2019-07-25,7.7,2,,
this,4,2020-03-19,8.2,1,,
this,4,2019-01-31,,4,,
this,4,2020-07-16,,1,,
this,4,2019-09-26,7.91,1,,
this,4,2019-04-24,7.4,1,,
this,4,2019-10-10,8.0,1,,
this,4,2020-05-25,8.8,1,,
this,4,2020-06-06,8.8,2,,
this,4,2019-11-18,8.0,1,,
this,4,2019-11-18,,1,,
this,4,2020-03-26,,1,,
this,4,2020-03-26,,1,,
this,4,2019-10-12,8.0,1,,
this,4,2020-08-17,8.8,1,,
this,4,2019-01-24,,1,,
this,4,2020-06-21,,1,,
this,4,2020-06-29,8.8,1,,
this,4,2019-06-20,7.6,1,,
this,4,2020-03-08,8.2,1,,
this,4,2020-07-24,8.8,1,,
this,4,2020-08-22,8.8,1,,
this,4,2020-07-25,8.8,1,,
this,4,2020-03-31,,2,,
this,4,2020-04-21,8.7,1,,
this,4,2019-01-18,6.7,1,,
this,4,2020-07-06,,1,,
this,4,2020-08-03,,1,,
this,4,2019-08-15,7.7,1,,
this,4,2020-02-16,8.2,1,,
this,4,2020-03-13,8.2,1,,
this,4,2019-12-19,8.2,1,,
this,4,2019-12-24,,1,,
this,4,2019-08-25,7.7,1,,
this,4,2019-10-13,,1,,
this,4,2019-09-17,7.91,1,,
this,4,2019-11-08,8.0,1,,
this,4,2020-01-07,8.2,1,,
this,4,2019-08-17,7.7,1,,
this,4,2020-02-10,8.2,1,,
this,4,2020-05-08,8.8,1,,
this,4,2019-06-24,7.6,1,,
this,4,2019-05-31,,1,,
this,4,2020-11-17,9.2,3,,
this,4,2020-11-18,9.2,3,,
this,4,2020-11-18,,1,,
this,4,2019-07-20,7.7,1,,
this,4,2019-04-06,7.02,1,,
