token,rating,date,version,used_count
very,5,2020-10-04,9.0,2
very,5,2020-03-11,8.2,2
very,5,2020-03-11,,1
very,5,2020-06-29,,1
very,5,2020-06-29,8.8,2
very,5,2020-06-29,,1
very,5,2019-01-16,,1
very,5,2019-12-20,8.2,2
very,5,2019-09-16,,1
very,5,2019-09-16,,1
very,5,2020-03-05,,1
very,5,2020-03-05,8.2,3
very,5,2020-06-16,8.8,4
very,5,2020-10-02,9.0,2
very,5,2020-08-17,,1
very,5,2020-08-17,8.8,1
very,5,2020-03-31,8.7,6
very,5,2020-03-31,,1
very,5,2020-03-31,,1
very,5,2020-03-31,,1
very,5,2020-01-03,8.2,5
very,5,2019-10-06,8.0,3
very,5,2020-07-21,,1
very,5,2020-07-21,8.8,1
very,5,2020-07-21,,1
very,5,2020-07-21,,1
very,5,2020-09-17,9.0,5
very,5,2020-01-17,8.2,3
very,5,2020-01-17,,1
very,5,2019-06-08,7.6,3
very,5,2020-08-20,,1
very,5,2020-08-20,8.8,2
very,5,2020-08-20,,1
very,5,2020-06-02,8.8,6
very,5,2020-06-02,,1
very,5,2020-06-02,,1
very,5,2019-09-10,7.91,1
very,5,2019-06-19,7.6,4
very,5,2020-04-09,8.7,5
very,5,2020-04-09,,1
very,5,2020-04-09,,1
very,5,2019-05-02,7.4,1
very,5,2020-08-19,8.8,3
very,5,2019-12-01,8.2,4
very,5,2020-04-18,,1
very,5,2020-04-18,8.7,3
very,5,2019-12-16,,1
very,5,2019-12-16,8.2,6
very,5,2020-05-22,,1
very,5,2020-05-22,8.8,1
very,5,2020-05-22,,1
very,5,2019-11-18,8.0,4
very,5,2020-07-27,8.8,2
very,5,2020-03-14,8.2,5
very,5,2020-03-14,,1
very,5,2020-08-10,,1
very,5,2020-08-10,8.8,4
very,5,2020-08-10,,1
very,5,2020-06-26,8.8,3
very,5,2020-08-08,,1
very,5,2020-08-08,8.8,5
very,5,2020-03-27,8.7,7
very,5,2020-03-27,,1
very,5,2020-03-27,,1
very,5,2020-04-30,8.7,10
very,5,2020-04-30,,1
very,5,2020-04-30,8.8,3
very,5,2020-04-13,,2
very,5,2020-04-13,,2
very,5,2020-04-13,8.7,1
very,5,2020-04-27,8.7,4
very,5,2019-12-23,8.2,3
very,5,2020-05-29,,1
very,5,2020-05-29,8.8,3
