token,rating,date,version,used_count,master_word,token_category
the,1,2020-11-07,9.2,6,,
the,1,2020-10-13,9.0,4,,
the,1,2020-10-08,9.0,1,,
the,1,2020-10-01,9.0,1,,
the,1,2020-10-01,,2,,
the,1,2020-10-20,9.2,2,,
the,1,2020-11-06,9.2,2,,
the,1,2020-11-06,,2,,
the,1,2020-11-06,,2,,
the,1,2020-10-19,9.0,1,,
the,1,2020-10-05,9.0,2,,
the,1,2020-11-04,9.2,1,,
the,1,2020-10-29,9.2,1,,
the,1,2020-10-02,9.0,1,,
the,1,2020-11-05,9.2,3,,
the,1,2020-11-05,,1,,
the,1,2020-09-30,9.0,1,,
the,1,2020-09-30,8.2,1,,
the,1,2020-08-22,,2,,
the,1,2020-08-22,8.8,1,,
the,1,2020-08-22,,1,,
the,1,2020-09-01,,2,,
the,1,2020-09-01,,1,,
the,1,2020-08-20,8.8,3,,
the,1,2020-08-29,9.0,5,,
the,1,2020-09-13,9.0,1,,
the,1,2020-10-17,,2,,
the,1,2020-07-05,8.8,4,,
the,1,2020-07-05,,2,,
the,1,2020-08-17,8.8,1,,
the,1,2020-08-27,9.0,3,,
the,1,2020-08-27,,1,,
the,1,2020-08-27,,1,,
the,1,2020-05-21,,2,,
the,1,2020-05-21,8.8,2,,
the,1,2020-05-21,,1,,
the,1,2020-07-06,8.8,1,,
the,1,2020-07-06,,1,,
the,1,2020-08-23,8.8,2,,
the,1,2020-08-23,,2,,
the,1,2020-07-22,8.8,2,,
the,1,2020-07-22,,1,,
the,1,2020-10-16,,1,,
the,1,2020-06-28,8.8,3,,
the,1,2020-07-15,8.8,3,,
the,1,2020-08-24,,4,,
the,1,2020-08-24,8.8,3,,
the,1,2020-08-28,9.0,1,,
the,1,2020-08-04,8.8,6,,
the,1,2019-04-27,7.4,7,,
the,1,2019-04-27,6.9,1,,
the,1,2020-07-03,8.8,4,,
the,1,2019-06-01,7.5,4,,
the,1,2020-05-29,8.8,7,,
the,1,2020-05-29,,2,,
the,1,2019-12-04,,2,,
the,1,2019-12-04,8.2,4,,
the,1,2019-12-30,,6,,
the,1,2020-09-09,9.0,4,,
the,1,2020-07-25,,3,,
the,1,2020-08-30,9.0,1,,
the,1,2020-06-29,8.8,1,,
the,1,2020-07-01,,1,,
the,1,2020-08-11,8.8,8,,
the,1,2020-08-11,,2,,
the,1,2020-08-11,,1,,
the,1,2020-08-11,,1,,
the,1,2020-09-25,9.0,2,,
the,1,2019-01-17,6.7,3,,
the,1,2020-06-16,8.8,2,,
the,1,2020-07-09,,3,,
the,1,2020-07-09,,1,,
the,1,2020-07-09,8.8,2,,
the,1,2020-07-09,,3,,
the,1,2020-04-22,8.7,5,,
the,1,2020-04-22,,1,,
the,1,2020-05-24,8.8,2,,
the,1,2020-07-31,,1,,
the,1,2020-07-31,,1,,
the,1,2019-01-29,6.7,1,,
the,1,2019-11-03,8.0,5,,
the,1,2019-10-25,8.0,3,,
the,1,2019-07-25,7.7,2,,
the,1,2019-07-25,,2,,
the,1,2019-01-25,6.7,5,,
the,1,2020-08-26,9.0,1,,
the,1,2020-09-03,9.0,4,,
the,1,2020-09-03,,1,,
the,1,2019-03-03,,1,,
the,1,2019-03-03,6.9,1,,
the,1,2019-03-03,6.8,1,,
the,1,2019-05-13,7.5,6,,
the,1,2019-01-23,6.7,3,,
the,1,2020-09-24,9.0,1,,
the,1,2020-09-24,,1,,
the,1,2020-08-13,8.8,3,,
the,1,2020-08-13,,1,,
the,1,2019-05-10,7.4,1,,
the,1,2019-05-10,7.5,2,,
the,1,2020-07-14,,1,,
the,1,2019-05-21,7.5,2,,
the,1,2019-04-25,7.4,10,,
the,1,2019-06-24,,1,,
the,1,2020-07-13,8.8,12,,
the,1,2020-03-30,,1,,
the,1,2020-03-30,8.7,1,,
the,1,2020-03-30,8.2,1,,
the,1,2019-09-13,,1,,
the,1,2019-04-24,,1,,
the,1,2019-04-24,7.4,11,,
the,1,2019-04-24,7.02,1,,
the,1,2019-04-24,,1,,
the,1,2019-04-24,,1,,
the,1,2019-04-26,7.4,10,,
the,1,2020-04-03,8.7,2,,
the,1,2020-04-26,8.7,3,,
the,1,2019-09-11,7.91,4,,
the,1,2019-09-11,,1,,
the,1,2020-01-05,8.2,3,,
the,1,2019-09-15,7.91,2,,
the,1,2020-04-16,8.7,1,,
the,1,2020-04-16,,1,,
the,1,2019-03-17,6.8,1,,
the,1,2019-04-29,7.4,8,,
the,1,2019-04-29,,1,,
the,1,2020-04-28,8.7,4,,
