word_token,upvote_sum,rating,word_rep_count,user_count
app,21888,1,3716,2651
this,14700,1,1543,1117
not,8094,1,1460,1225
money,10690,1,1301,1096
n't,8935,1,1070,895
fake,3771,1,1061,911
and,11306,1,968,713
the,12554,1,893,655
time,5907,1,870,789
after,9638,1,827,718
but,8497,1,734,631
very,3896,1,719,569
try,8227,1,705,564
worst,2135,1,580,536
bad,2784,1,552,520
waste,3332,1,540,500
download,3164,1,515,462
...,5009,1,480,325
please,2482,1,456,387
hours,4021,1,436,393
install,3078,1,422,378
you,5491,1,413,298
redeem,4375,1,385,344
have,5227,1,364,305
hai,647,1,355,246
for,2958,1,337,287
give,1401,1,334,293
they,6623,1,324,228
get,3271,1,319,289
transfer,1981,1,318,287
your,3121,1,308,267
paytm,1253,1,288,274
that,4456,1,278,232
dont,439,1,260,237
when,2587,1,257,241
will,4351,1,254,207
its,2996,1,229,198
withdraw,1975,1,221,199
only,1399,1,220,205
apps,1986,1,214,186
all,2205,1,211,189
....,1678,1,202,164
wallet,1358,1,200,188
did,2246,1,190,174
are,2842,1,187,162
application,1561,1,184,151
from,2102,1,184,174
fraud,4356,1,180,154
any,1717,1,180,171
good,765,1,171,169
nhi,366,1,170,144
ever,1626,1,170,156
problem,2278,1,167,145
aap,155,1,163,137
days,2376,1,153,136
always,1534,1,153,153
says,1495,1,152,144
use,846,1,151,140
can,772,1,150,139
showing,2360,1,147,139
frizza,677,1,147,134
again,973,1,147,114
totally,2541,1,146,135
nahi,83,1,146,127
also,1816,1,143,132
one,1890,1,141,127
shows,770,1,138,131
task,823,1,137,113
does,1023,1,136,124
code,26,1,129,120
then,2351,1,128,116
even,3046,1,127,113
account,553,1,126,121
plz,570,1,121,111
rupees,890,1,118,102
earn,222,1,117,111
why,853,1,115,106
nice,11,1,113,112
reward,864,1,113,98
was,2511,1,113,93
just,1077,1,112,103
now,1774,1,111,104
what,1027,1,110,106
open,268,1,107,103
able,811,1,107,105
hour,2357,1,107,96
wrost,349,1,105,102
show,396,1,104,92
.....,3876,1,104,91
video,138,1,104,93
tried,1349,1,102,91
many,1311,1,99,95
amount,266,1,99,93
star,1261,1,99,84
say,1026,1,98,91
data,1189,1,98,91
working,157,1,95,90
want,738,1,94,91
installed,1506,1,93,89
because,538,1,93,90
still,888,1,90,83
bhi,69,1,87,72
useless,672,1,85,85
completed,1650,1,85,79
with,1017,1,84,77
every,1613,1,84,81
giving,386,1,82,74
payment,342,1,82,74
trying,678,1,81,79
never,1732,1,81,76
koi,179,1,80,73
like,1517,1,80,75
verify,696,1,80,73
guys,988,1,80,76
solve,456,1,79,76
