word_token,upvote_sum,rating,word_rep_count,user_count
app,4222,4,787,680
good,1225,4,543,529
nice,74,4,407,402
but,1085,4,255,229
money,643,4,247,222
very,805,4,192,178
this,1121,4,190,147
the,6897,4,183,118
and,2221,4,145,121
for,2463,4,139,121
not,340,4,116,106
earning,210,4,102,93
earn,230,4,74,71
its,454,4,74,62
best,10,4,71,69
...,1752,4,71,57
you,1634,4,71,48
please,629,4,71,60
aap,154,4,58,53
give,161,4,54,50
code,156,4,54,47
some,351,4,52,49
time,371,4,52,47
apps,749,4,49,45
get,497,4,48,40
offers,77,4,45,40
payment,11,4,45,42
after,242,4,45,38
are,1467,4,44,33
more,283,4,44,37
problem,39,4,43,35
like,423,4,43,39
use,393,4,42,36
super,3,4,41,41
have,1561,4,40,37
frizza,9,4,39,35
n't,104,4,39,36
real,300,4,38,34
one,276,4,37,35
paytm,707,4,36,33
task,716,4,36,30
application,20,4,34,34
days,1371,4,33,31
transfer,744,4,33,33
great,19,4,33,33
really,399,4,31,28
hai,71,4,31,19
all,538,4,30,28
that,746,4,29,26
can,286,4,28,27
reward,733,4,28,22
try,221,4,28,23
when,722,4,27,23
redeem,24,4,26,24
....,18,4,25,21
offer,220,4,25,22
rupees,18,4,25,20
awesome,92,4,25,25
will,831,4,24,18
only,332,4,24,23
because,759,4,24,24
withdraw,1,4,24,22
got,9,4,24,22
any,38,4,21,19
video,20,4,21,19
much,37,4,20,19
slow,154,4,20,20
now,11,4,20,20
love,10,4,20,20
amount,1378,4,20,19
giving,264,4,19,15
there,343,4,19,18
new,715,4,19,17
work,8,4,19,19
gives,5,4,19,18
download,24,4,18,17
cash,8,4,18,18
your,690,4,18,18
nyc,0,4,17,17
less,25,4,17,17
with,10,4,17,17
from,26,4,16,16
better,0,4,16,16
was,459,4,16,12
withdrawal,38,4,16,15
given,25,4,16,15
fast,121,4,15,15
completed,224,4,15,14
hours,4,4,15,14
solve,13,4,15,14
sometimes,13,4,15,15
install,12,4,15,14
referral,131,4,15,15
take,14,4,15,15
why,4,4,14,13
just,1512,4,14,13
thanks,5,4,14,13
make,221,4,14,13
star,5,4,14,14
amazing,2,4,14,14
working,691,4,14,14
daily,111,4,14,14
many,10,4,14,14
game,3,4,14,10
first,6,4,14,14
too,181,4,14,13
still,11,4,14,14
issue,351,4,14,13
bad,3,4,14,14
help,4,4,13,13
wallet,5,4,13,13
day,201,4,13,13
gud,1,4,13,13
paise,80,4,13,8
need,4,4,13,13
late,109,4,13,13
complete,8,4,13,12
easy,9,4,13,12
experience,35,4,13,13
takes,31,4,13,12
know,41,4,12,11
does,11,4,12,11
sir,5,4,12,9
received,22,4,12,12
thank,110,4,12,12
nic,0,4,12,10
add,5,4,12,11
otherwise,156,4,12,12
watching,202,4,12,11
stars,714,4,12,11
plz,6,4,12,12
fix,152,4,12,11
useful,747,4,11,10
pls,7,4,11,11
low,4,4,11,11
nahi,4,4,11,8
also,884,4,11,11
installed,449,4,11,10
did,6,4,11,11
which,3,4,11,9
osm,1,4,11,11
