word_token,upvote_sum,rating,word_rep_count,user_count
app,1199,2,198,161
not,709,2,152,128
the,2028,2,139,79
money,2102,2,129,102
but,1067,2,108,90
and,2264,2,103,71
this,1187,2,102,77
after,308,2,64,60
for,930,2,62,53
good,105,2,54,54
very,80,2,50,43
n't,899,2,48,40
try,96,2,46,40
time,702,2,44,41
please,71,2,43,40
have,1019,2,41,37
...,491,2,41,28
code,39,2,40,37
nice,6,2,37,36
that,1217,2,37,30
get,581,2,35,33
paytm,117,2,33,31
give,738,2,30,23
only,194,2,30,26
bad,61,2,29,28
frizza,186,2,28,20
transfer,585,2,28,27
are,325,2,27,21
download,182,2,27,22
hours,90,2,27,26
when,683,2,26,25
redeem,19,2,26,21
hai,24,2,25,19
will,21,2,24,19
problem,119,2,24,23
what,45,2,23,22
did,663,2,23,22
from,672,2,23,22
apps,653,2,23,20
you,1308,2,23,15
days,1308,2,22,18
its,54,2,21,20
withdraw,80,2,21,16
they,762,2,21,17
why,17,2,21,20
any,225,2,20,18
fake,53,2,20,19
wallet,49,2,19,18
account,64,2,19,13
some,639,2,18,17
video,216,2,18,13
earn,72,2,18,14
offers,184,2,18,12
working,37,2,17,15
many,268,2,17,14
day,102,2,17,14
install,18,2,17,17
offer,83,2,16,13
all,96,2,16,14
payment,52,2,16,14
shows,79,2,16,16
solve,13,2,15,15
referral,42,2,15,14
fix,160,2,15,15
earning,0,2,15,15
can,36,2,15,15
installed,55,2,15,13
raha,2,2,15,10
with,256,2,15,13
show,34,2,15,14
pls,221,2,15,9
tasks,31,2,14,12
even,46,2,14,13
says,57,2,13,12
getting,220,2,13,11
your,1186,2,13,8
nhi,10,2,13,10
complete,5,2,13,13
always,30,2,13,13
one,55,2,13,11
pending,82,2,13,12
completed,148,2,13,13
again,9,2,12,8
open,1,2,12,12
refer,65,2,12,12
now,1192,2,12,10
rupees,35,2,12,10
reward,24,2,11,10
able,6,2,11,10
received,4,2,11,11
was,14,2,11,10
new,28,2,11,6
there,185,2,11,9
aap,7,2,11,9
task,87,2,11,10
plz,22,2,11,10
slow,63,2,11,11
hour,2,2,11,6
