word_token,upvote_sum,rating,word_rep_count,user_count
app,976,3,370,301
good,293,3,245,240
but,2632,3,216,184
money,2732,3,199,169
the,4125,3,160,100
nice,91,3,160,159
not,550,3,156,144
this,747,3,135,109
and,1951,3,116,84
please,475,3,85,74
for,806,3,80,64
very,376,3,75,66
n't,1136,3,63,58
after,1675,3,63,58
you,174,3,54,34
have,1072,3,50,43
paytm,323,3,48,43
earning,80,3,48,47
give,256,3,48,40
are,3814,3,44,35
time,56,3,44,39
transfer,237,3,43,38
problem,241,3,41,37
get,78,3,40,35
code,0,3,39,32
that,3515,3,39,31
try,1188,3,35,31
task,1345,3,34,24
only,122,3,34,30
earn,27,3,34,32
apps,572,3,33,26
use,96,3,33,26
hai,0,3,31,21
video,345,3,31,23
can,136,3,30,26
why,77,3,29,25
more,75,3,29,26
hours,240,3,27,24
one,1056,3,27,22
reward,9,3,27,23
amount,510,3,27,25
offer,165,3,27,24
...,401,3,27,21
when,161,3,27,26
payment,236,3,25,19
frizza,179,3,25,23
its,60,3,25,24
there,231,3,24,23
solve,242,3,24,22
redeem,53,3,24,21
days,96,3,23,23
best,15,3,23,21
account,93,3,23,22
offers,230,3,23,19
all,63,3,23,21
wallet,66,3,23,22
plz,206,3,23,21
some,321,3,22,20
shows,2158,3,22,18
because,28,3,20,18
new,197,3,20,17
aap,5,3,20,19
install,55,3,20,17
withdraw,2200,3,19,17
what,1083,3,19,19
much,10,3,19,19
now,37,3,19,19
gives,165,3,18,14
they,2978,3,18,15
download,74,3,18,17
working,2,3,17,17
bad,3,3,17,17
fix,35,3,17,16
super,0,3,17,17
any,63,3,17,15
was,93,3,16,13
many,22,3,16,15
less,445,3,16,13
from,44,3,16,13
refer,1,3,16,14
help,29,3,16,15
giving,58,3,15,13
your,30,3,15,14
sir,102,3,15,12
getting,87,3,15,14
with,1102,3,15,14
nhi,6,3,15,14
....,1932,3,15,12
make,22,3,15,15
slow,2,3,15,15
does,24,3,15,15
will,30,3,15,10
fake,5,3,15,13
completed,1166,3,14,14
installed,6,3,14,12
got,223,3,14,12
rupees,55,3,14,12
again,2293,3,14,8
star,259,3,14,13
referral,0,3,13,12
did,241,3,13,12
application,108,3,13,13
increase,3,3,13,12
too,5,3,13,13
watch,63,3,13,13
complete,14,3,13,11
tasks,6,3,13,13
how,5,3,13,13
take,59,3,12,12
just,1104,3,12,12
refferal,16,3,12,11
says,32,3,11,11
like,13,3,11,11
watching,313,3,11,9
nahi,0,3,11,11
low,6,3,11,11
same,2190,3,11,9
thing,2265,3,11,9
cash,2,3,11,10
